Band_8;Band_9;Band_3;Band_10;Band_11;Band_4;Band_12;Band_1;Band_13;Band_14;Band_15;Band_2;Band_16;Band_17;Band_18;Band_19;Band_5;Band_6;Band_7
0;0;0;0;0;0;0;0;0;0.276504;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.276504;0;0;0;0;0;0;0;0;0
0;0;0.000116314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.0748605;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.0144916;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.0144916;0;0;0;0;0;0;0;0;0
0;0;0.000166573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.00327816;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.00327816;0;0;0;0;0;0;0;0;0
0;0;0.000183067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.000955106;0;0;0;0;0;0;0;0;0
0;0;0.000164856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.000273069;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.000273069;0;0;0;0;0;0;0;0;0
0;0;0.000144955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.000171243;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.000171243;0;0;0;0;0;0;0;0;0
0;0;0.000166567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.14E-05;4.02E-05;0.000258259;0.000315458;0;0;0;0.00260528;0.000148845;0;0.000682194;0.000400835;1.11E-05;6.82E-06;1.95E-06;5.88E-06;3.99E-05;1.47E-05;3.01E-05
0;0;0;0;0;0;0;0;0;7.39E-05;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;8.34E-05;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;6.41E-05;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;6.41E-05;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;7.50E-05;0;0;0;0;0;0;0;0;0
1.18E-05;4.48E-05;0.00033333;0.00048059;0;0;0;0.004129;0.00022173;0.000140615;0.00120268;0.000597802;3.65E-06;6.87E-06;3.11E-06;5.26E-06;4.38E-05;2.16E-05;5.00E-05
